Volatile_compounds,Analysis_method
"[1,1'-Bicyclohexyl]-4-carboxylic acid, 4'-pentyl-, 4-fluorophenyl ester",GC-MS
cis-Vaccenic acid,GC-MS
1-Heptatriacontanol,GC-MS
(E)-2-Hexenyl hexanoate,GC-MS
Longicyclene,GC-MS
"Benzyl alcohol, 4-(2,4-diamino-5-pyrimidinylmethyl)-2,6-dimethoxy-alpha,alpha-dimethyl-",GC-MS
1-Ethyl-2-methylbenzene,GC-MS
Triethyl phosphate,GC-MS
Tetrachloroethylene,GC-MS
Methoxy-phenyl-oxime,GC-MS
Aniline,GC-MS
"1,2-dichloro-4-methyl-benzene",GC-MS
"4,6-dimethyl-dodecane",GC-MS
Glyceryl monostearate,GC-MS
Hexadecanoic acid 2-hydroxy-1-(hydroxymethyl) ethyl ester,GC-MS
11-Decyldocosane,GC-MS
Cetyl glycidyl ether,GC-MS
Trimethylamine,GC-MS
Linalyl anthranilate,GC-MS
Geranic acid,GC-MS
(4Z)-4-Hexenyl acetate,GC-MS
Hex-2-enyl acetate,GC-MS
"1,2,3,4,5-Pentamethylcyclopentadiene",GC-MS
3-Methyl-3-decen-2-one,GC-MS
beta-phenylethyl acetic ester,GC-MS
2-Phenylacetamide,GC-MS
N-Benzylacetamide,GC-MS
Stigmasterol,GC-MS
"1,4,6-Trimethylnaphthalene",GC-MS
Atractylodin,GC-MS
14-Pentadecenoic acid,GC-MS
Cyclopentadecanone,GC-MS
Triethyl borate,GC-MS
Benserazide,GC-MS
"1,1-(Dimethyl) spiro [2.4] hepta-4-ene",GC-MS
"2,6-Dimethoxyphenol",GC-MS
"2,2-Dimethylpropanethioamide",GC-MS
4-Aminobenzonitrile,GC-MS
"1,4,7,10-Tetraoxacyclododecane",GC-MS
Bovolide,GC-MS
"3,4-Dimethyl-5-pentylfuran-2(5H)-one",GC-MS
Cumene,GC-MS
cis-3-Nonen-1-ol,GC-MS
(Z)-Non-6-en-1-ol,GC-MS
2-Methylnon-2-en-4-one,GC-MS
Neointermedeol,GC-MS
(E)-Hexadec-11-en-1-ol,GC-MS
Dimethyl sulfide,GC-MS
(Z)-Non-2-enal,GC-MS
Hexadecane-d34,GC-MS
"(2E,6Z)-Nona-2,6-dien-1-ol",GC-MS
1-Eicosene,GC-MS
2-Methylbenzyl alcohol,GC-MS
Bisabolol oxide B,GC-MS
"[S-(R*,R*)]-dihydro-2,2,6-trimethyl-6-(4-methyl-3-cyclohexen-1-yl)-2H-pyran-3(4H)-one",GC-MS
Bisabolol oxide A,GC-MS
Ledene oxide,GC-MS
"7E, 9E-Octadecadienoic acid",GC-MS
"Pentacyclo[4.2.0.0~2,5~.0~3,8~.0~4,7~]octa-1,3-diene",GC-MS
Carotol,GC-MS
alpha-Fenchol,GC-MS
"Guaia-6,9-diene",GC-MS
beta-Fenchyl acetate,GC-MS
(1S)-(1)-beta-Pinene,GC-MS
"2-[(3S,3aS,5R)-3,8-Dimethyl-1,2,3,3a,4,5,6,7-octahydroazulen-5-yl]propan-2-ol",GC-MS
exo-2-Hydroxycimeole,GC-MS
Sabinyl acetate,GC-MS
"3-Cyclohexen-1-ol, 4-methyl-1-(1-methylethyl)-, acetate",GC-MS
alpha-Cedrene epoxide,GC-MS
Bisabolene epoxide,GC-MS
3-Oxo-?-ionone,GC-MS
Vulgarone B,GC-MS
"Eremophila-1(10),11-dien-2-one",GC-MS
"1,1,5,5-Tetramethyl-7H-2,4a-meth anonaphthalen-7-one",GC-MS
Illudol,GC-MS
"4,8-Cycloundecadien-1-one, 2,5,9-trimethyl-, (4E,8E)-",GC-MS
"Isolongifolene, 9-hydroxy-",GC-MS
"p-Mentha-1,5,8-triene",GC-MS
beta-Agarofuran,GC-MS
alpha-Agarofuran,GC-MS
"decahydro-1,1,7-trimethylspiro[4H-cycloprop[e]azulene-4,2'-oxirane]",GC-MS
3-Dehydroretinal,GC-MS
"(1aalpha,4aalpha,7alpha,7abeta,7balpha)-1a,2,4a,5,6,7,7a,7b-Octahydro-1,1,4,7-tetramethyl-1H-cyclopr",GC-MS
Benzylacetone,GC-MS
4-Isopropylbenzyl alcohol,GC-MS
(Z)-9-Octadecamide,GC-MS
Sibirene,GC-MS
(E)-.gamma.-Bisabolene,GC-MS
"2,6,10-Trimethyldodecane",GC-MS
ksi-cadinene,GC-MS
Myrtenyl acetate,GC-MS
"3,7-Dimethyloct-6-en-3-ol",GC-MS
"p-Mentha-1,3,8-triene",GC-MS
2-Methyl-3-buten-2-OL,GC-MS
Bomeol,GC-MS
Veridiflorol,GC-MS
"(2E,6E)-Nona-2,6-dien-1-ol",GC-MS
Nerolidyl acetate,GC-MS
trans-Z-alpha-Bisabolene epoxide,GC-MS
"8,9-dehydro-9-formyl-cycloisolongifolene",GC-MS
Velleral,GC-MS
beta-Curcumene,GC-MS
ar-Turmerone,GC-MS
alpha-Turmerone,GC-MS
Ledane,GC-MS
Patchoulane,GC-MS
"3,7-Octadien-2-ol, 2-methyl-6-methylene-, (E)-",GC-MS
Picrotoxin,GC-MS
Ethyl p-methoxycinnamate,GC-MS
"3,4-Dimethoxybenzaldehyde",GC-MS
"2-Allyl-1,4-dimethoxy-3-methyl-benzene",GC-MS
"Triquinacene, 1,4-bis(methoxy)-",GC-MS
"4,7-Dimethoxy-1-indanone",GC-MS
"Triquinacene, 1,4,7-tris(methoxy)-",GC-MS
"Ethanone, 1-[4-(1-methyl-2-propenyl)phenyl]-",GC-MS
Methyl ferulate,GC-MS
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",GC-MS
"(E,E)-7,11,15-Trimethyl-3-methylene-hexadeca-1,6,10,14-tetraene",GC-MS
Zingiberenol,GC-MS
Sandaracopimaradiene,GC-MS
"4(5H)-Benzofuranone, 6-ethenyl-6,7-dihydro-3,6-dimethyl-5-(1-methylethenyl)-, trans-",GC-MS
Zerumbone,GC-MS
Artemisiatriene,GC-MS
tau-Gurjunene,GC-MS
"2,4-Dissopropenyl-menthyl-1-Vinylcyclohexane",GC-MS
(3z)-Hexenol,GC-MS
"Linalyl oxide pyranoid, trans-(+)-",GC-MS
Allyl methyl disulfide,GC-MS
Dipropyl disulfide,GC-MS
Amyl methyl disulfide,GC-MS
"trans-3,5-Diethyl-1,2,4-trithiolane",GC-MS
"cis-3,5-Diethyl-1,2,4-trithiolane",GC-MS
2-Tridecanol,GC-MS
"3(2H)-Furanone, 2-hexyl-5-methyl-",GC-MS
"3(2H)-Furanone, 5-methyl-2-octyl-",GC-MS
"2,5-Dimethylthiophene",GC-MS
Methyl propyl disulfide,GC-MS
Allyl propyl disulfide,GC-MS
trans-Propenyl propyl disulfide,GC-MS
Dipropyl trisulfide,GC-MS
Propenyl propyl trisulfide,GC-MS
(E)-3-(1-propenyl)phenol,GC-MS
2-Hexanol,GC-MS
"4,6-undecandien-2-one",GC-MS
cis-4-Decen-1-ol,GC-MS
"2H-Inden-2-one, octahydro-, cis-",GC-MS
1-p-Menthen-8-ol acetate,GC-MS
2-Isopropylbenzaldehyde,GC-MS
1C647N9853,GC-MS
2-Dodecenal,GC-MS
Methyl acetate,GC-MS
delta-Decalactone,GC-MS
(+)-Aromadendrene,GC-MS
Nootkatene,GC-MS
beta-Gurjunene,GC-MS
Osthole,GC-MS
glutaric acid hexadecyl pent-4-en-1-yl ester,GC-MS
Neocnidilide,GC-MS
m-Cresol,GC-MS
trans-Sesquisabinene hydrate,GC-MS
4-Hydroxy-2-methylacetophenone,GC-MS
Z-9-Pentadecenol,GC-MS
Methyl 2-hydroxy-4-methylpentanoate,GC-MS
"6-Methyl-3,5-heptadien-2-one",GC-MS
2-Isopropyl-1-methoxy-4-methylbenzene,GC-MS
Propofol,GC-MS
"2,3,5-Trimethoxytoluene",GC-MS
l-Phellandral,GC-MS
3-Isopropylphenol,GC-MS
Piperitol,GC-MS
Sabinol,GC-MS
"p-Mentha-1,5-dien-7-ol",GC-MS
5-Isopropylbicyclo[3.1.0]hexan-2-one,GC-MS
"3,3,6-Trimethylhepta-1,5-dien-4-ol",GC-MS
Chamazulene,GC-MS
trans-Piperitol,GC-MS
"Bicyclo(3.1.1)hept-2-ene, 2,6,6-trimethyl-, dimer",GC-MS
CID 159901413,GC-MS
Eucarvone,GC-MS
"1-(1,3-Benzodioxol-5-yl)-1-propanone",GC-MS
Heptadecyl acetate,GC-MS
(Z)-14-Methylhexadec-8-enal,GC-MS
"2,4-Dimethoxyphenyl isocyanate",GC-MS
Nonanal,GC 和 GC-MS
2-Phenylethanol,GC 和 GC-MS
L-Borneol,GC 和 GC-MS
Decanal,GC 和 GC-MS
Benzothiazole,GC 和 GC-MS
Bornyl acetate,GC 和 GC-MS
Caryophyllene,GC 和 GC-MS
Geranylacetone,GC 和 GC-MS
"1,5,5-Trimethyl-6-methylene-cyclohexene",GC 和 GC-MS
Pentadecane,GC 和 GC-MS
Butylated Hydroxytoluene,GC 和 GC-MS
73621-21-3,GC 和 GC-MS
Hexadecane,GC 和 GC-MS
Tridecane,GC 和 GC-MS
Methyl heptadecanoate,GC-MS
Dimethyl sebacate,GC-MS
Dimethyl azelate,GC-MS
Dimethyl malonate,GC-MS
Methyl levulinate,GC-MS
Dimethyl succinate,GC-MS
Methyl pentadecanoate,GC-MS
CID 10878761,GC-MS
Dehydrofukinone,GC-MS
gamma-Elemene,GC 和 GC-MS
beta-Selinene,GC 和 GC-MS
Eremophilene,GC 和 GC-MS
alpha-Selinene,GC 和 GC-MS
Ent-Spathulenol,GC 和 GC-MS
CID 10878761,GC 和 GC-MS
Curzerene,GC 和 GC-MS
Solavetivone,GC 和 GC-MS
4-Phenylbenzaldehyde,GC 和 GC-MS
Procerin,GC 和 GC-MS
Hexadecyl acetate,GC 和 GC-MS
"Tricyclo[5.2.2.0(1,6)]undecan-3-ol, 2-methylene-6,8,8-trimethyl-",GC 和 GC-MS
"2-(3,7-dimethyl-octa-2,6-dienthyl)-4-methoxy-phenol",GC 和 GC-MS
"ethanol,1-(2,2-dimethyl-1-phenylethynyl-cyclopropyl)-",GC 和 GC-MS
"Sulfurous acid, butyl isohexyl ester",GC 和 GC-MS
Methyl propyl ether,GC-MS
3-Methoxyphenyl acetate,GC-MS
"2,4,4,5-Tetramethyl-3-(3-oxobut-1-en-1-yl)cyclohex-2-en-1-one",GC-MS
"Bicyclo[3.1.0]hexan-2-one, 1,5-di-tert-butyl-3,3-dimethyl-",GC-MS
Totarol,GC-MS
Olean-13(18)-ene,GC-MS
"13,27-Cycloursan-3-one",GC-MS
Lanosteryl acetate,GC-MS
"Urs-12-en-24-oic acid, 3-oxo-, methyl ester",GC-MS
Lupeol acetate,GC-MS
1-(Dimethylamino)propan-2-yl acetate,GC-MS
3-Methoxymethcathinone,GC-MS
"3-Dimethylamino-2,2-dimethyl-1-propanol",GC-MS
l-[-]-4-Hydroxy-1-methylproline,GC-MS
"D-Ribono-1,4-lactone",GC-MS
Methyl 6-deoxy-L-galactopyranoside,GC-MS
alpha-L-Rhamnose,GC-MS
Coniferyl alcohol,GC-MS
Sinapyl alcohol,GC-MS
(Z)-Ocimenone,GC-MS
trans-Ocimenone,GC-MS
Elaidic Acid,GC 和 GC-MS
Linoleic acid,GC 和 GC-MS
Palmitic Acid,GC 和 GC-MS
"7, 10, 13-Hexadecatrienoic acid methyl ester",GC 和 GC-MS
9-Hexadecenoic acid,GC 和 GC-MS
6436729,GC 和 GC-MS
Stearic Acid,GC 和 GC-MS
Ethyl oleate,GC 和 GC-MS
Ethyl linoleate,GC 和 GC-MS
Palmitic acid ethyl ester,GC 和 GC-MS
Ethyl 9-hexadecenoate,GC 和 GC-MS
Myristic acid,GC 和 GC-MS
Cadina-1 (10) 4-diene,GC 和 GC-MS
Terpinolene,GC 和 GC-MS
Piperitone,GC 和 GC-MS
alpha-Terpinyl acetate,GC 和 GC-MS
isoBornyl acetate,GC 和 GC-MS
Elemol,GC 和 GC-MS
Cedryl acetate,GC 和 GC-MS
Terpinene-4-ol,GC 和 GC-MS
epi-Bicyclosesquiphellandrene,GC 和 GC-MS
Myrcene,GC 和 GC-MS
delta-Cadinene,GC 和 GC-MS
alpha-Elemene,GC 和 GC-MS
Longifolene,GC 和 GC-MS
alpha-Pinene,GC 和 GC-MS
Cedrol,GC 和 GC-MS
3-Carene,GC 和 GC-MS
alpha-Fenchene,GC 和 GC-MS
beta-Pinene,GC 和 GC-MS
alpha-Thujene,GC 和 GC-MS
p-Cymene,GC 和 GC-MS
beta-Phellandrene,GC 和 GC-MS
alpha-Cedrene,GC 和 GC-MS
alpha-TERPINEOL,GC 和 GC-MS
beta-Cedrene,GC 和 GC-MS
alpha-Eudesmol,GC 和 GC-MS
epi-Cedrol,GC 和 GC-MS
Totarol,GC 和 GC-MS
beta-Elemene,GC 和 GC-MS
Cuparene,GC 和 GC-MS
exo-Fenchol,GC 和 GC-MS
beta-Eudesmol,GC 和 GC-MS
gamma-Eudesmol,GC 和 GC-MS
"Selina-4,11-Diene",GC 和 GC-MS
"4,5-di-epi-Aristolochene",GC 和 GC-MS
Isoeugenol,GC 和 GC-MS
beta-Bisabolene,GC 和 GC-MS
"Selina-3,7(11)-diene",GC 和 GC-MS
Zonarene,GC-MS
Caparratriene,GC-MS
alpha-Neocallitropsene,GC-MS
alpha-Pinene oxide,GC 和 GC-MS
delta-2-Carene,GC 和 GC-MS
Verbenene,GC 和 GC-MS
Ipsenol,GC 和 GC-MS
Endo-fenchol,GC 和 GC-MS
alpha-caryophyllene,GC 和 GC-MS
Bornyl Butyrate,GC 和 GC-MS
2-undecanone,GC 和 GC-MS
(-)-gamma-Cadinene,GC 和 GC-MS
Nerolidol,GC 和 GC-MS
2-Tridecanone,GC 和 GC-MS
"(1S,4aS,8aR)-1-isopropyl-7-methyl-4-methylene-1,2,3,4,4a,5,6,8a-octahydronaphthalene",GC 和 GC-MS
Citronellyl butyrate,GC 和 GC-MS
nerol acetate,GC 和 GC-MS
Andrographolide,GC 和 GC-MS
Totarol acetate,GC-MS
2-beta-Pinene,GC-MS
Thujopsene,GC 和 GC-MS
alpha-Humulene,GC 和 GC-MS
Carvyl acetate,GC-MS
Norcamphor,GC-MS
D-Limoneneee,GC-MS
(+)-Verbenone,GC-MS
beyerene,GC-MS
beta-thujone,GC-MS
carnphene,GC-MS
"2,3,5,6-Tetramethylpyrazine",GC 和 GC-MS
3-Methyl-2-buten-1-ol,GC 和 GC-MS
Phytol,GC 和 GC-MS
Terpine-4-ol,GC 和 GC-MS
trans-p-Menth-2-en-1-ol,GC 和 GC-MS
alpha-Linalool,GC 和 GC-MS
Dihydrocarveol,GC 和 GC-MS
p-Vinylanisole,GC 和 GC-MS
D-Limonene,GC 和 GC-MS
Geraniol,GC 和 GC-MS
b-Terpineol,GC 和 GC-MS
Cyclocolorenone,GC 和 GC-MS
Scyllitol,GC-MS
Boric Acid,GC-MS
Didesethylflurazepam,GC-MS
Germane,GC-MS
"4,4-Diphenyl-2-cyclohexen-1-one",GC-MS
6-azidochrysene,GC-MS
Platambin,GC-MS
Butylated hydroxyl toluene,GC-MS
beta-humulene,GC-MS
ar-abietatriene,GC-MS
alpha-cadinol isomer,GC-MS
Bicyclo[2.2.1]heptan-2-ol,GC-MS
anethole,GC 和 GC-MS
eugenol,GC 和 GC-MS
4-Methoxybenzaldehyde,GC 和 GC-MS
Acetyleugenol,GC 和 GC-MS
nonahexacontanoic acid,GC-MS
"2,7,10-trimethyl dodecane",GC-MS
(+)-epi-bicyclosesquiphellandrene,GC-MS
4-terpinenyl acetate,GC-MS
alpha-cadinol,GC 和 GC-MS
alpha-muurolene,GC 和 GC-MS
manool,GC 和 GC-MS
santene,GC 和 GC-MS
Citronellol,GC 和 GC-MS
germacrene D-4-ol,GC 和 GC-MS
Terpinenol-4,GC 和 GC-MS
alpha-Phellandrene,GC 和 GC-MS
"Cyclohexene, 1-Methyl-5-(1-Methylethenyl)-",GC 和 GC-MS
"1,4,7,-Cycloundecatriene, 1,5,9,9-Tetramethyl-, Z,Z,Z-",GC 和 GC-MS
"3,3,7,11-Tetramethyltricyclo[5.4.0.0(4,11)]Undecan-1-Ol",GC 和 GC-MS
"(1aR,3aS,7bS)-1,1,3a,7-Tetramethyl-1a,2,3,3a,4,5,6,7b-octahydro-1H-cyclopropa[a]naphthalene",GC 和 GC-MS
Isocaryophyllene,GC 和 GC-MS
"Tricyclo[2.2.1.0(2,6)]Heptane, 1,7,7-Trimethyl-",GC 和 GC-MS
"Cyclohexene, 1-Methyl-4-(1-Methylethyl)-",GC 和 GC-MS
"Bicyclo[2.2.1]heptan-2-ol, 7,7-dimethyl-, acetate",GC 和 GC-MS
STK156237,GC 和 GC-MS
"4-Hydroxy-2,6,6-trimethylcyclohex-2-en-1-one",GC 和 GC-MS
Beta-Bourbonene,GC 和 GC-MS
"Cis-Eudesma-6,11-Diene",GC 和 GC-MS
.Beta.-Cubebene,GC 和 GC-MS
Humulene,GC 和 GC-MS
Santolina triene,GC 和 GC-MS
Oxirane,GC 和 GC-MS
Neryl phenylacetate,GC 和 GC-MS
Ocimene,GC 和 GC-MS
(+)-alpha-Pinene,GC 和 GC-MS
Linalyl phenylacetate,GC 和 GC-MS
Isolimonene,GC 和 GC-MS
4-carene,GC 和 GC-MS
n-Butyl ether,GC 和 GC-MS
Oxygenated monoterpene,GC 和 GC-MS
trans-Pinocarveol,GC 和 GC-MS
p-Menth-1-en-3-ol,GC 和 GC-MS
Verbenone,GC 和 GC-MS
Myrtenol,GC 和 GC-MS
cis-Carveol,GC 和 GC-MS
4-Isopropenyltoluene,GC 和 GC-MS
Carvone,GC 和 GC-MS
Abietadiene,GC 和 GC-MS
alpha-Cubebene,GC 和 GC-MS
D-Germacrene,GC 和 GC-MS
alpha-Bergamotene,GC 和 GC-MS
Terpinen-4-ol,GC 和 GC-MS
alpha-Fenchyl acetate,GC 和 GC-MS
"1,4-methanoazulene",GC 和 GC-MS
spathulenol,GC 和 GC-MS
tricyclene,GC 和 GC-MS
Terpinolenee,GC 和 GC-MS
muurolol,GC 和 GC-MS
alpha-fenchol,GC 和 GC-MS
Cyclohexane,GC 和 GC-MS
beta-terpinene,GC 和 GC-MS
Copaene,GC 和 GC-MS
Bisabolane,GC 和 GC-MS
gamma-Gurjunene,GC 和 GC-MS
isolongifolene,GC 和 GC-MS
alpha-Longipinene,GC 和 GC-MS
"1,3-Cycloheptadien-1-Ylmethyl-Ketone",GC 和 GC-MS
alpha-copaene,GC 和 GC-MS
gamma-Caryophyllene,GC 和 GC-MS
(+)-delta-Cadinene,GC 和 GC-MS
Cedrelanol,GC 和 GC-MS
4-Isopropyl-2-Cyclohexenone,GC 和 GC-MS
myrtenal,GC 和 GC-MS
delta-Cadinol,GC 和 GC-MS
Manoyl oxide,GC 和 GC-MS
gamma-Amorphene,GC 和 GC-MS
Estragole,GC 和 GC-MS
Trans-.Alpha.-Bergamotol,GC 和 GC-MS
Cembrene,GC 和 GC-MS
Bisabolol,GC 和 GC-MS
(E)-beta-ocimene,GC 和 GC-MS
Aromadendrene allo,GC 和 GC-MS
Germacrene B,GC 和 GC-MS
Globulol,GC 和 GC-MS
beta-Caryophyllene+terpinen-4-ol,GC 和 GC-MS
trans-Verbenol,GC 和 GC-MS
"p-Mentha-1,5-dien-8-ol",GC 和 GC-MS
T-Muurolol,GC 和 GC-MS
Bicyclogermacrene,GC 和 GC-MS
4-Epiisocembrol,GC 和 GC-MS
"epi-(1R,4R,4aR,6S,8aR)-1,6-dimethyl-4-propan-2-yl-3,4,4a,5,6,7,8,8a-octahydro-2H-naphthalen-1-oll",GC 和 GC-MS
methyl salicylate,GC 和 GC-MS
"2,3-Dihydrobenzofuran",GC 和 GC-MS
4-Vinylphenol,GC 和 GC-MS
Trans-2-Hexenoic Acid,GC 和 GC-MS
Tau.-Cadinol,GC 和 GC-MS
Phenylacetaldehyde,GC 和 GC-MS
PAES,GC 和 GC-MS
4-Terpineol,GC 和 GC-MS
beta-Cymene,GC 和 GC-MS
"1,2,4a,5,8,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-naphthalene",GC 和 GC-MS
beta-Cubebene,GC 和 GC-MS
elixene,GC 和 GC-MS
Tau.-Muurolol,GC 和 GC-MS
alpha-guaiene,GC 和 GC-MS
beta-Eeudesmol,GC 和 GC-MS
(-)-Isoborneol,GC 和 GC-MS
citronellyl acetate,GC 和 GC-MS
(Z)-beta-ocimene,GC 和 GC-MS
Geranyl acetate,GC 和 GC-MS
Alpha-Ocimene,GC-MS
alpha-Myrcene,GC 和 GC-MS
Valencene,GC 和 GC-MS
Bete-Elemene,GC 和 GC-MS
Alloaromadendrene,GC 和 GC-MS
Oleic Acid-13C,GC 和 GC-MS
METHYL NONANOATE,GC 和 GC-MS
"9,12-octadecadienoic acid",GC 和 GC-MS
cyclobutanecarboxylic acid,GC 和 GC-MS
ethyl dodecanoate,GC 和 GC-MS
lauric acid,GC 和 GC-MS
squalene,GC 和 GC-MS
Sebacic acid,GC 和 GC-MS
Arginine,GC 和 GC-MS
abietatriene,GC 和 GC-MS
tricosane,GC 和 GC-MS
beta-Farnesene,GC 和 GC-MS
Calamenene,GC 和 GC-MS
p-Cymen-alpha-ol,GC 和 GC-MS
beta-thujone,GC 和 GC-MS
farnesol,GC 和 GC-MS
Procainamide,GC-MS
"3-Methyl-4,4-diphenyl-2-cyclohexen-1-one",GC-MS
n-Hexyl vinylalcohol,GC-MS
Didesethylflurazepam dehydration product,GC-MS
"3,4-Dimethylphenol",GC-MS
Nor-antipyrine methylated,GC-MS
Dihydro-5-tetradecyl-2-(3H)-furanone,GC-MS
Propyl Isothiocyanate,GC-MS
Bicyclo[7.1.0]Decane,GC-MS
(Z)-Isoelimicin,GC-MS
(Z)-Methylisoeugenol,GC-MS
Zierone,GC-MS
alpha-Longipinene,GC-MS
2-octanone,GC-MS
"4H-Pyran-4-one, 2,3-dihydro-3,5-dihydroxy-6-methyl-",GC-MS
Ethyl 2-(Propan-2-Yloxy)Acetate,GC-MS
Trans-2-Octenal,GC-MS
4-Methoxybenzaldehyde Oxime,GC-MS
"1,2-Dimethylindoline",GC-MS
Iridomyrmecin,GC-MS
Dihydronepetalactone,GC-MS
"(+)-3-Carene, 10-(Acetylmethyl)-",GC-MS
4668-61-5,GC-MS
595935,GC-MS
Benzyl Oleate,GC-MS
"4-(2,6,6-Trimethylcyclohexa-1,3-dienyl)but-3-en-2-one",GC-MS
577131,GC-MS
"1,1,6-Trimethyltetralin",GC-MS
Cinnamyl Propionate,GC-MS
Phenyl benzoate,GC-MS
"1-Butanol,3-methyl-",GC-MS
2'-Benzyloxyacetophenone,GC-MS
"Benzene,1-propenyt-",GC-MS
"propanoic,2-phenyleethylester",GC-MS
"1,6-Heptadi-4-ol",GC-MS
Phenethyl phenylacetate,GC-MS
Methyl pentanoate,GC-MS
"(1R,4R,4aR,6S,8aR)-1,6-dimethyl-4-propan-2-yl-3,4,4a,5,6,7,8,8a-octahydro-2H-naphthalen-1-oll",GC-MS
khusinol,GC-MS
alismol,GC-MS
"3,6,6,9-Tetramethyl-4,4a,5,6,7,9a-hexahydro-1h-benzo[7]annulene",GC-MS
"Eudesma-4(14),7(11)-diene",GC-MS
5-羟基白菖莆烯,GC-MS
"反式杜松萜烷-1(2),4-二烯",GC-MS
白檀油烯醇,GC-MS
(E)-9-表丁香烯,GC-MS
"(2E,4E)-3,7-Dimethylocta-2,4-diene",GC-MS
"Bicyclo[7.2.0]undec-3-en-5-ol, 4,11,11-trimethyl-8-methylene-, acetate",GC-MS
"1-[(propylthio)methyl]-1,2-dicarbadodecaborane(12)",GC-MS
"2,4,5-Trimethoxybenzaldehyde",GC-MS
beta-Friedelinol,GC-MS
23-Ethyl-(3beta-23s)-cholest-5-en-3-ol,GC-MS
alpha.-Longipinene,GC-MS
"4,22-Stigmastadiene-3 one",GC-MS
Linoelaidic Acid,GC-MS
3-Nonen-2-one,GC-MS
2-Isobutyl-3-methoxypyrazine,GC-MS
Arthole,GC-MS
Iso-CYCLOCITRAL,GC-MS
Eicosanal,GC-MS
ascaridole,GC 和 GC-MS
2-Pinanol,GC 和 GC-MS
Ethyl cinnamate,GC 和 GC-MS
Linalyl acetate,GC 和 GC-MS
Diallyl trisulfide,GC-MS
Diallyl disulfide,GC-MS
Allyl methyl trisulfide,GC-MS
(E)-1-Propenyl Allyl Disulfide,GC-MS
"2-Vinyl-4H-1,3-dithiine",GC-MS
Dimethyl trisulfide,GC-MS
Diallyl sulfide,GC-MS
Diallyl tetrasulfide,GC-MS
"3-Vinyl-4H-1,2-dithiine",GC-MS
"1,2,3-Trithia-4-cyclohexene",GC-MS
Methyl 1-(1-propenylsulfinyl)propyl disulfide,GC-MS
"1,2-Dithiolane",GC-MS
Methyl phenyl disulfide,GC-MS
"1,4-Dihydro-2,3-benzoxathiin 3-oxide",GC-MS
cyclooctasulfur,GC-MS
吖啶甲酸乙酯,GC-MS
diisopropyl trisulfide,GC-MS
Methylbutylnitrosamine,GC-MS
Akt inhibitor VIII,GC-MS
丁基十三烷基亚硫酸,GC-MS
Icosane,GC-MS
Allyl Methyl Sulfide,GC-MS
"Hexadecane, 1-iodo-""",GC-MS
Dimethyl Tetrasulfide,GC-MS
环己-2-乙基-3-硅烷,GC-MS
"1,3-Dithiane",GC-MS
6-Chloropurine,GC-MS
Methyl allyl disulfide,GC-MS
methyl propyl trisulfide,GC-MS
"3,5-Diethyl-1,2,4-trithiolane",GC-MS
1-(Methylthio)propyl 1-propenyl disulfide,GC-MS
"Disulfide, Methyl 1-Propenyl",GC-MS
"3,4-dimethylthiophene",GC-MS
Trans-1-Propenyl Propyl Trisulfide,GC-MS
"5-ethyl-2,3,4,6-tetrathiaheptane",GC-MS
Methyl Trans-1-Propenyl Trisulfide,GC-MS
"2,4-Dimethylthiophene",GC-MS
Methyl allyl trisulfide,GC-MS
Allyl Propyl Trisulfide,GC-MS
2-(Methyldisulfanyl)Propane,GC-MS
"2,3-Dimethylthiophene",GC-MS
"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",GC-MS
Coumaran,GC-MS
2-Phenylbutenal,GC-MS
ETHYL PROPYL DISULFIDE,GC-MS
1-Propanethiol,GC-MS
"Trans-3,5-Dimethylthiane",GC-MS
(Z)-3-Methyl-3-pentenoic acid methyl ester,GC-MS
2-Ethyl-1-Dodecanol,GC-MS
3-Methoxypentane,GC-MS
Allyl 1-Propenyl Disulfide,GC-MS
Allyl (Z)-1-Propenyl Disulfide,GC-MS
(E)-1-Propenyl Methyl Disulfide,GC-MS
bis-(2-sulfhydryethyl)-disulfide,GC-MS
217.9(5); 93 (33); 138.9 (71); 61 (100),GC-MS
"2,4,5-Trithiahexane",GC-MS
Tris(methylthio)methane,GC-MS
232(10); 139(19); 124(20); 107(37); 61(100),GC-MS
(E)-1-propenyl propyl disulfide,GC-MS
(E)-1-propenyl propyl trisulfide,GC-MS
十九烯-2-酮,GC-MS
乙基(2-)丁烯基硫醚,GC-MS
Propenyl propyl disulfide,GC-MS
methyl prop-1-enyl disulphide,GC-MS
"2-(5-chloro-2-ethoxyphenyl)-N,N-dimethylpentan-1-amine",GC-MS
"3,3,5-Trimethylcyclohexanone",GC-MS
4-Vinylcyclohexene,GC-MS
Ethyl pentadecanoate,GC-MS
Dibutyl phthalate,GC 和 GC-MS
Diisobutyl phthalate,GC 和 GC-MS
DODECANAL,GC 和 GC-MS
Pentadecanoic acid,GC 和 GC-MS
ETHYL BENZOATE,GC 和 GC-MS
12-TRICOSANONE,GC 和 GC-MS
Menthyl Lactate,GC 和 GC-MS
TETRACOSANE,GC 和 GC-MS
PENTACOSANE,GC 和 GC-MS
2-DODECANOL,GC 和 GC-MS
Benzaldehyde,GC 和 GC-MS
Methyl 2-Bromotetradecanoate,GC 和 GC-MS
